appid,V9_name,release_date,english,developer,publisher,platforms,genres,SteTa,Ach,positive_ratings,negative_ratings,average_playtime,M.P.,owners,v_price
514520,Sparky's Hunt,2016-08-18,1,Luke Cripps,Fellowplayer,windows,Indie,Indie;Horror,14,6,3,0,0,0-20000,0.99
1012710,Endzeit,2019-04-03,1,RockyDev,RockyDev,windows,Action;Early Access,Early Access;Action;Violent,0,0,1,88,88,0-20000,7.19
279260,Richard & Alice,2014-06-05,1,Owl Cave,Owl Cave,windows,Adventure;Indie,Adventure;Indie;Point & Click,21,264,99,332,332,50000-100000,4.79
220090,The Journey Down: Chapter One,2013-01-09,1,SkyGoblin,SkyGoblin,windows;mac;linux,Adventure;Indie,Adventure;Point & Click;Indie,0,902,129,303,327,200000-500000,5.99
788870,In The Long Run The Game,2018-07-02,1,Zerstoren Games,Zerstoren Games,windows,Action;Adventure;Indie;Simulation;Strategy;Early Access,Early Access;Simulation;Indie,0,6,11,0,0,0-20000,7.19
920780,Safe,2018-11-02,1,GraphXGames,GraphXGames,windows,Indie;Strategy,Indie;Strategy;Puzzle,0,1,0,0,0,0-20000,2.99
625780,Magic Wand,2017-06-25,1,thecatamites,harmony corp,windows;mac;linux,Adventure;Indie;RPG,Adventure;Indie;RPG,0,34,2,0,0,0-20000,2.79
339440,Critical Annihilation,2016-02-12,1,Devoga,Devoga,windows;mac;linux,Action;Indie;Early Access,Early Access;Action;Indie,24,178,16,0,0,0-20000,4.79
448240,Hybrid Animals,2016-08-29,1,FamishedMammal,Abstract Software Inc.,windows,Action;Casual;Indie;Simulation,Simulation;Action;Casual,26,196,134,0,0,20000-50000,4.99
838110,HyperParasite,2019-04-03,1,Troglobytes Games,Troglobytes Games;Hound Picked Games,windows,Action;Adventure;Indie;Early Access,Early Access;Action;Indie,55,30,1,0,0,0-20000,6.19
444250,Crown and Council,2016-04-22,1,Mojang,Mojang,windows,Casual;Indie;Strategy,Strategy;Casual;Indie,0,450,268,0,0,100000-200000,0.0
752550,Ripped Pants at Work,2018-01-21,1,Scott Ethington,Scott Ethington,windows;mac,Action;Indie,Indie;Action,0,20,4,0,0,0-20000,2.09
848720,Z.W!,2018-05-15,1,S. Khasanov,S. Khasanov,windows,Action;Indie,Action;Indie,7,3,1,0,0,0-20000,0.79
925470,Endless Jade Sea -Midori no Umi-,2019-01-23,1,Cabbit,SakuraGame,windows,Adventure;Indie;RPG,Sexual Content;Nudity;Indie,0,92,16,0,0,0-20000,1.69
832380,Reignman（掌控者）,2018-05-10,1,Winturn Games,Winturn Games,windows,Adventure;Indie;Strategy,Strategy;Indie;Adventure,0,22,6,0,0,0-20000,2.89
517210,Bad Pad,2018-08-08,1,Headbang Games;Oray Studios,Headbang Games,windows;linux,Action;Indie,Indie;Action;Great Soundtrack,56,23,2,0,0,0-20000,10.29
610360,Zup! Zero,2017-04-06,1,Quiet River,Quiet River,windows,Casual;Indie,Casual;Indie;Puzzle,1043,1270,102,187,204,50000-100000,0.79
982100,Samozbor: Rebellion,2018-12-08,1,derevotyan,derevotyan,windows;linux,Casual;Indie,Indie;Casual;Visual Novel,0,9,2,0,0,0-20000,0.79
642600,Burst Fighter,2017-09-16,1,Magesoft,Magesoft,windows,Action;Indie,Indie;Action;Shoot 'Em Up,21,13,0,0,0,0-20000,6.99
498620,The Shadowland,2016-07-17,1,Bloodcraft Dev,Bloodcraft Dev,windows,Adventure;Indie,Indie;Adventure;Platformer,0,19,12,0,0,0-20000,0.79
882260,HellMaze,2018-07-10,1,wirYe Games,wirYe Games,windows;mac;linux,Adventure;Casual;Indie,Indie;Adventure;Casual,0,1,1,0,0,0-20000,3.99
664560,DreamTank,2017-10-13,1,Studio229,Studio229,windows,Casual;Indie,Casual;Indie;VR,0,3,2,0,0,0-20000,7.19
803720,War Theatre,2019-03-16,1,Arcade Distillery,Arcade Distillery,windows;mac,RPG;Strategy,Strategy;RPG,19,6,2,0,0,0-20000,7.19
683830,Weable,2017-08-22,1,SPECTRUM GAMES,Droid Riot,windows,Action;Casual;Indie,Action;Indie;Casual,0,50,9,205,205,20000-50000,0.79
699790,Pegasus Door,2017-09-07,1,Jérémy Pionnier,Gate Zero,windows,Action,Action;VR,0,2,1,0,0,0-20000,2.79
656740,Cosmonator,2019-01-21,1,Bourbontank,Bourbontank,windows,Action;Indie;RPG,Action;Indie;RPG,25,28,1,0,0,0-20000,5.19
556070,Turret Architect,2016-11-28,1,Red Matter Studio,Red Matter Studio,windows,Casual;Simulation;Early Access,Early Access;Casual;Simulation,0,25,24,254,258,0-20000,0.79
