name,release_date,1ZT_english;appid,developer,publisher,platforms,rqrd_g,categories,genres,steamspy_tags,achievements;ratings_positive,negative_ratings,average_playtime,owners
Sparky's Hunt,2016-08-18,2;514520,gospel according to luke ,Fellowplayer,windows,0,Single-player,1ndie,Indie;Horror,14;6,3,8426,0-20000
Endzeit,2019-04-03,0;1012710,RockyDev,RockyDev,windows,0,Single-player;Multi-player;Co-op;Full controller support;Stats,Action;Early Access,Early Access;Action;Violent,0;0,1,88,0-20000
Richard & Alice,2014-06-05,1;279260,Owl Cave,Owl Cave,windows,-5,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Indie;Point & Click,21;264,99,332,50000-100000
The Journey Down: Chapter One,2013-01-09,2;220090,SkyGoblin,SkyGoblin,windows;mac;linux,0,Single-player;Steam Trading Cards,,Adventure;Point & Click;Indie,0;902,129,10013,200000-500000
In The Long Run The Game,2018-07-02,1;788870,Zerstoren Games,Zerstoren Games,windows,-3,Single-player;Partial Controller Support,Action;Adventure;Indie;Simulation;Strategy;Early Access,Early Access;Simulation;Indie,0;6,11,11955,0-20000
Safe,2018-11-02,1;920780,GraphXGames,GraphXGames,windows,0,Single-player,Indie;St5ategy,Indie;Strategy;Puzzle,0;1,0,0,0-20000
Magic Wand,2017-06-25,0;625780,thecatamites,harmony corp,windows;mac;linux,11,Single-player,Adventure;Indie;RPG,Adventure;Indie;RPG,0;34,2,0,0-20000
Critical Annihilation,2016-02-12,1;339440,Devoga,Devoga,windows;mac;linux,0,Single-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Action;Indie;Early Access,Early Access;Action;Indie,24;178,16,0,0-20000
Hybrid Animals,2016-08-29,1;448240,R_FamishedMammal,Abstract Software Inc.,windows,0,Single-player;Multi-player;Steam Achievements;Stats,LZAO_Action;Casual;Indie;Simulation,Simulation;Action;Casual,26;196,134,0,20000-50000
HyperParasite,2019-04-03,1;838110,Troglobytes Games,Troglobytes Games;Hound Picked Games,windows,0,Single-player;Local Co-op;Shared/Split Screen;Partial Controller Support,Action;Adventure;Indie;Early Access,Early Access;Action;Indie,55;30,1,0,0-20000
Crown and Council,2016-04-22,1;444250,Mojang,Mojang,windows,0,Single-player;Local Multi-Player,Casual;Indie;Strategy,Strategy;Casual;Indie,0;450,268,0,100000-200000
Ripped Pants at Work,2018-01-21,1;752550,Scott Ethington,Scott Ethington,windows;mac,0,Single-player;Full controller support,Action;Indie,Indie;Action,0;20,4,-52,0-20000
Z.W!,2018-05-15,2;848720,S. Khasanov,S. Khasanov,windows,0,Single-player,Action;Indie,Action;Indie,7;3,1,0,0-20000
Endless Jade Sea -Midori no Umi-,2019-01-23,1;925470,Cabbit,SakuraGame,windows,2,Single-player,Adventure;Indie;RPG,Sexual Content;Nudity;Indie,0;92,16,11433,0-20000
Reignman（掌控者）,2018-05-10,0;832380,Winturn Games,Winturn Games,windows,0,Single-player,Adventure;Indie;Strategy,Strategy;Indie;Adventure,0;22,6,0,0-20000
Bad Pad,2018-08-08,1;517210,Headbang Games;Oray Studios,Headbang Games,windows;linux,9,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,Action;Indie,Indie;Action;Great Soundtrack,56;23,2,0,0-20000
Zup! Zero,2017-04-06,1;610360,tranquillity ,Quiet River,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Lässig;Indie,Casual;Indie;Puzzle,1043;1270,102,187,50000-100000
Samozbor: Rebellion,2018-12-08,1;982100,derevotyan,derevotyan,windows;linux,0,Single-player,Casual;Indie,Indie;Casual;Visual Novel,0;9,2,0,0-20000
Burst Fighter,2017-09-16,1;642600,,Magesoft,windows,0,Single-player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action;Indie,Indie;Action;Shoot 'Em Up,21;13,0,0,0-20000
The Shadowland,2016-07-17,1;498620,,Bloodcraft Dev,windows,0,Single-player;Steam Trading Cards,Adventure;Indie,Indie;Adventure;Platformer,0;19,12,0,0-20000
HellMaze,2018-07-10,0;882260,wirYe Games,wirYe Games,windows;mac;linux,10,Single-player,Adventure;Casual;Indie,Indie;Adventure;Casual,0;1,1,0,0-20000
DreamTank,2017-10-13,1;664560,Studio229,Studio229,windows,0,Single-player;Full controller support,Lässig;Indie,Casual;Indie;VR,0;3,2,0,0-20000
War Theatre,2019-03-16,1;803720,Arcade Distillery,Arcade Distillery,windows;mac,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Full controller support,RPG;St.,Strategy;RPG,19;6,2,9913,0-20000
Weable,2017-08-22,1;683830,SPECTRUM GAMES,Droid Riot,windows,0,Single-player;Steam Trading Cards,Action;Casual;Indie,Action;Indie;Casual,0;50,9,589,20000-50000
Pegasus Door,2017-09-07,1;699790,Jérémy Pionnier,Gate Zero,windows,0,Single-player,q6_Action,Action;VR,0;2,1,0,0-20000
Cosmonator,2019-01-21,1;656740,Bourbontank,Bourbontank,windows,9,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Action;Indie;RPG,Action;Indie;RPG,25;28,1,0,0-20000
Turret Architect,2016-11-28,1;556070,Red Matter Studio,Red Matter Studio,windows,0,Single-player;Steam Trading Cards,Casual;Simulation;Early Access,Early Access;Casual;Simulation,0;25,24,254,0-20000
Game Builder,2018-11-01,1;929860,Area 120,Area 120,windows;mac,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Workshop;Includes level editor,Free to Play;Indie;Simulation;Early Accass,Early Access;Free to Play;Indie,0;160,20,3,50000-100000
Aztec Venture,2017-06-01,1;632830,8xHo_rokaplay,rokaplay,windows,0,Single-player,free-and-easy,Casual;Match 3,0;7,1,0,0-20000
System Goose Overload,2017-08-04,1;672000,Joseph Calabro,Joseph Calabro,windows,0,Single-player;Partial Controller Support,Adventure;Indie;RPG,Adventure;RPG;Indie,0;40,3,0,0-20000
Shaolin vs Wutang,2018-07-26,1;466110,Yae Lef,Digital Tribe,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Leaderboards,Action;Casual;Indie,Indie;Casual;Action,12;573,38,0,0-20000
Hotdog Man,2019-03-20,2;1043510,Hot Game,Hot Game,windows,11,Single-player;Steam Achievements,Casual;Indie;Simulation,Indie;Casual;Nudity,14;2,0,0,0-20000
Tallowmere,2015-03-03,1;340520,Chris McFarland,Chris McFarland,windows;mac;linux,12,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;Violent,28;581,42,8425,20000-50000
One Final Chaos,2015-10-21,1;409610,Pusselbit;Sweet Studio Labs,A Sweet Studio,windows,0,Single-player;Cross-Platform Multiplayer;Partial Controller Support,Action;Indie,Action;Indie;Runner,8;9,0,0,0-20000
Women's Soccer Manager,2018-07-16,1;850230,Uedt_Trophy Games ApS,Trophy Games ApS,windows,0,Online Multi-Player;In-App Purchases,Free to Play;Sports;Strategy,Free to Play;Sports;Strategy,0;43,15,0,20000-50000
Depth,2014-11-03,0;274940,Digital Confectioners,Digital Confectioners,windows,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes level editor,Action;Indie,Action;Multiplayer;Gore,40;22385,3472,791,1000000-2000000
Ambition of the Slimes,2018-02-15,1;568910,Q_altairworks,Flyhigh Works;CIRCLE Entertainment,windows,0,Single-player;Steam Achievements;Full controller support,Indie;RPG;Simulation;Strategie,Indie;Strategy;RPG,13;12,1,0,0-20000
Zimbo,2018-05-04,1;842310,RS Games,RS Games,windows,0,Single-player;Steam Achievements,Action;Adventure;Casual;Indie;Racing;Simulation;Sports,Action;Indie;Adventure,5;46,72,0,0-20000
The Samaritan Paradox,2014-04-18,1;283180,Faravid Interactive,Screen 7,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;1ndie,Adventure;Indie;Point & Click,17;103,34,0,20000-50000
