Hours_Worked_Per_Week,Employee_ID,Satisfaction_with_Remote_Work,Physical_Activity,Gender,Arbeitsplatz,Access_to_Mental_Health_Resources,Number_of_Virtual_Meetings,Company_Support_for_Remote_Work,Social_Isolation_Rating,old age,Industrie,be life story equipoise military rating,Productivity_Change,Sleep_Quality
47,EMP0001,Unsatisfied,Weekly,Non-binary,Hybrid,No,7,1,1,32,Healthcare,2,Decrease,Good
52,EMP0002,Satisfied,Weekly,Female,Remote,No,4,2,3,40,IT,1,Increase,Good
46,EMP0003,Unsatisfied,None,Non-binary,Hybrid,No,11,5,4,59,Education,5,No Change,Poor
32,EMP0004,Unsatisfied,None,Male,Onsite,Yes,8,3,3,27,Finance,4,Increase,Poor
35,EMP0005,Unsatisfied,Weekly,Male,Onsite,Yes,12,3,3,49,Consulting,2,Decrease,Average
39,EMP0006,Unsatisfied,None,Non-binary,Hybrid,No,3,1,5,59,IT,4,Increase,Average
51,EMP0007,Neutral,Daily,Prefer not to say,Remote,Yes,7,3,5,31,IT,3,Decrease,Poor
54,EMP0008,Satisfied,None,Non-binary,Onsite,No,7,4,5,42,Manufacturing,3,Decrease,Average
24,EMP0009,Unsatisfied,Daily,Prefer not to say,Hybrid,Yes,4,4,2,56,Healthcare,2,Decrease,Poor
57,EMP0010,Neutral,Weekly,Female,Hybrid,Yes,6,1,2,30,IT,1,Decrease,Poor
48,EMP0011,Satisfied,Weekly,Non-binary,Remote,Yes,3,2,4,33,Finance,3,Decrease,Average
26,EMP0012,Neutral,Weekly,Female,Hybrid,Yes,12,3,4,47,Consulting,4,No Change,Poor
21,EMP0013,Neutral,Weekly,Female,Remote,Yes,7,1,2,40,Consulting,2,Decrease,Good
45,EMP0014,Satisfied,Weekly,Non-binary,Hybrid,No,13,5,2,51,Manufacturing,1,Decrease,Poor
59,EMP0015,Neutral,Weekly,Prefer not to say,Remote,Yes,11,3,5,36,Retail,3,Decrease,Average
44,EMP0016,Satisfied,Weekly,Female,Remote,No,11,4,5,56,Healthcare,4,No Change,Average
52,EMP0017,Satisfied,Weekly,Prefer not to say,Onsite,No,9,1,1,33,Education,2,No Change,Good
37,EMP0018,Neutral,Weekly,Non-binary,Onsite,Yes,8,5,5,45,Consulting,3,Decrease,Good
36,EMP0019,Satisfied,Weekly,Non-binary,Remote,No,6,2,3,49,IT,1,No Change,Good
59,EMP0020,Neutral,Daily,Male,Remote,No,4,1,4,59,Consulting,3,Decrease,Average
21,EMP0021,Satisfied,Weekly,Female,Hybrid,No,1,1,2,26,Retail,2,Increase,Poor
54,EMP0022,Unsatisfied,Daily,Non-binary,Onsite,No,12,4,3,26,Education,3,Decrease,Poor
57,EMP0023,Satisfied,Daily,Prefer not to say,Onsite,Yes,1,4,3,43,Finance,3,Increase,Average
22,EMP0024,Neutral,Weekly,Non-binary,Onsite,No,12,3,2,53,Consulting,5,No Change,Poor
54,EMP0025,Neutral,Daily,Male,Remote,No,15,4,2,56,Finance,3,Increase,Average
21,EMP0026,Neutral,None,Male,Onsite,No,14,3,4,49,Healthcare,4,No Change,Good
24,EMP0027,Unsatisfied,None,Non-binary,Onsite,No,12,4,4,36,Retail,3,Decrease,Poor
56,EMP0028,Unsatisfied,None,Female,Onsite,No,4,4,4,53,Retail,4,No Change,Poor
33,EMP0029,Satisfied,Daily,Prefer not to say,Onsite,Yes,10,1,4,47,IT,3,Decrease,Poor
25,EMP0030,Satisfied,Weekly,Male,Remote,Yes,15,1,3,59,Healthcare,2,No Change,Poor
20,EMP0031,Neutral,Weekly,Female,Onsite,Yes,11,2,5,22,IT,1,No Change,Average
33,EMP0032,Satisfied,None,Prefer not to say,Hybrid,No,14,5,3,37,Manufacturing,2,Decrease,Average
20,EMP0033,Satisfied,Daily,Prefer not to say,Remote,Yes,14,5,5,45,Manufacturing,2,Decrease,Good
26,EMP0034,Neutral,Daily,Male,Remote,Yes,9,4,5,48,Healthcare,3,No Change,Average
22,EMP0035,Unsatisfied,Weekly,Male,Hybrid,No,6,3,1,36,IT,4,No Change,Average
57,EMP0036,Neutral,None,Prefer not to say,Hybrid,Yes,8,5,1,46,Healthcare,4,No Change,Poor
30,EMP0037,Satisfied,None,Male,Onsite,Yes,12,3,5,48,Finance,1,Decrease,Poor
47,EMP0038,Satisfied,Daily,Female,Remote,Yes,14,5,2,31,Healthcare,2,Increase,Good
48,EMP0039,Neutral,Weekly,Non-binary,Onsite,Yes,12,1,3,24,IT,4,No Change,Average
20,EMP0040,Unsatisfied,Weekly,Male,Hybrid,No,1,5,1,49,Consulting,3,Increase,Poor
44,EMP0041,Neutral,Daily,Non-binary,Remote,No,15,5,1,30,IT,4,Decrease,Poor
29,EMP0042,Unsatisfied,None,Male,Onsite,No,13,5,1,53,IT,2,No Change,Good
58,EMP0043,Unsatisfied,Weekly,Prefer not to say,Remote,Yes,6,3,3,54,Finance,3,Increase,Poor
53,EMP0044,Unsatisfied,None,Female,Remote,Yes,12,3,1,54,Manufacturing,4,No Change,Average
23,EMP0045,Neutral,Daily,Prefer not to say,Remote,Yes,6,2,5,57,Retail,3,No Change,Good
42,EMP0046,Neutral,Daily,Male,Remote,No,8,3,2,32,Retail,2,No Change,Poor
35,EMP0047,Unsatisfied,Weekly,Male,Remote,Yes,15,5,1,33,Education,1,Decrease,Good
