Job_Role,Industry,Ag,Mental_Health_Condition,Stress_Level,Years_of_Experience,Work_Location,Region,Employee_ID,Number_of_Virtual_Meetings,R_Satisfaction_with_Remote_Work,Work_Life_Balance_Rating,Hours_Worked_Per_Week,Productivity_Change
HR,Healthcare,32,Depression,Medium,13,Hybrid,Europe,EMP0001,7,Unsatisfied,2,47,Decrease
Data Scientist,IT,40,Anxiety,Medium,3,Remote,Asia,EMP0002,4,Satisfied,1,52,Increase
Software Engineer,Education,59,Anxiety,Medium,22,Hybrid,North America,EMP0003,11,Unsatisfied,5,46,No Change
Software Engineer,Finance,27,Depression,High,20,Onsite,Europe,EMP0004,8,Unsatisfied,4,32,Increase
Sales,Consulting,49,None,High,32,Onsite,North America,EMP0005,12,Unsatisfied,2,35,Decrease
Sales,IT,59,None,High,31,Hybrid,South America,EMP0006,3,Unsatisfied,4,39,Increase
Sales,IT,31,Anxiety,Low,24,Remote,Asia,EMP0007,7,Neutral,3,51,Decrease
Data Scientist,Manufacturing,42,Depression,Medium,6,Onsite,North America,EMP0008,7,Satisfied,3,54,Decrease
Data Scientist,Healthcare,56,None,High,9,Hybrid,Europe,EMP0009,4,Unsatisfied,2,24,Decrease
HR,IT,30,Depression,Low,28,Hybrid,North America,EMP0010,6,Neutral,1,57,Decrease
Software Engineer,Finance,33,None,High,17,Remote,Oceania,EMP0011,3,Satisfied,3,48,Decrease
Marketing,Consulting,47,None,Medium,31,Hybrid,Africa,EMP0012,12,Neutral,4,26,No Change
Marketing,Consulting,40,Depression,High,1,Remote,Europe,EMP0013,7,Neutral,2,21,Decrease
Designer,Manufacturing,51,Anxiety,Low,5,Hybrid,North America,EMP0014,13,Satisfied,1,45,Decrease
Project Manager,Retail,36,Anxiety,High,23,Remote,Oceania,EMP0015,11,Neutral,3,59,Decrease
Sales,Healthcare,56,Anxiety,Low,13,Remote,Africa,EMP0016,11,Satisfied,4,44,No Change
HR,Education,33,None,Medium,3,Onsite,Africa,EMP0017,9,Satisfied,2,52,No Change
Data Scientist,Consulting,45,Burnout,Low,20,Onsite,Europe,EMP0018,8,Neutral,3,37,Decrease
Software Engineer,IT,49,Anxiety,High,30,Remote,Oceania,EMP0019,6,Satisfied,1,36,No Change
Software Engineer,Consulting,59,Anxiety,Medium,13,Remote,South America,EMP0020,4,Neutral,3,59,Decrease
Sales,Retail,26,Burnout,Low,33,Hybrid,South America,EMP0021,1,Satisfied,2,21,Increase
Sales,Education,26,Depression,Medium,21,Onsite,North America,EMP0022,12,Unsatisfied,3,54,Decrease
Sales,Finance,43,Depression,Low,21,Onsite,Africa,EMP0023,1,Satisfied,3,57,Increase
Marketing,Consulting,53,Depression,Low,11,Onsite,Asia,EMP0024,12,Neutral,5,22,No Change
Sales,Finance,56,Burnout,Low,6,Remote,North America,EMP0025,15,Neutral,3,54,Increase
Project Manager,Healthcare,49,Burnout,High,23,Onsite,South America,EMP0026,14,Neutral,4,21,No Change
Project Manager,Retail,36,None,High,30,Onsite,North America,EMP0027,12,Unsatisfied,3,24,Decrease
Project Manager,Retail,53,Depression,Low,31,Onsite,Oceania,EMP0028,4,Unsatisfied,4,56,No Change
Sales,IT,47,Depression,High,22,Onsite,Europe,EMP0029,10,Satisfied,3,33,Decrease
Software Engineer,Healthcare,59,Depression,High,34,Remote,North America,EMP0030,15,Satisfied,2,25,No Change
Data Scientist,IT,22,Anxiety,Low,22,Onsite,Asia,EMP0031,11,Neutral,1,20,No Change
Marketing,Manufacturing,37,Depression,Medium,4,Hybrid,North America,EMP0032,14,Satisfied,2,33,Decrease
Project Manager,Manufacturing,45,Anxiety,Medium,29,Remote,North America,EMP0033,14,Satisfied,2,20,Decrease
Software Engineer,Healthcare,48,Anxiety,Medium,27,Remote,North America,EMP0034,9,Neutral,3,26,No Change
Designer,IT,36,Depression,Medium,24,Hybrid,Europe,EMP0035,6,Unsatisfied,4,22,No Change
Sales,Healthcare,46,None,Low,28,Hybrid,Europe,EMP0036,8,Neutral,4,57,No Change
Sales,Finance,48,Depression,Low,10,Onsite,Asia,EMP0037,12,Satisfied,1,30,Decrease
Designer,Healthcare,31,None,Low,18,Remote,Asia,EMP0038,14,Satisfied,2,47,Increase
