appid,name,english,developer,c_publisher,Platf,required_age,G;steamspy_tags,achievements,P.R.,negative_ratings,average_playtime,M.P.,owners
10,Counter-Strike,1,Valve,Valve,windows;mac;linux,0,Action;Action;FPS;Multiplayer,0,124534,3339,17612,317,10000000-20000000
20,Team Fortress Classic,1,Valve,Valve,windows;mac;linux,0,Action;Action;FPS;Multiplayer,0,3318,633,277,62,5000000-10000000
30,Day of Defeat,1,Valve,Valve,windows;mac;linux,0,Action;FPS;World War II;Multiplayer,0,3416,398,187,34,5000000-10000000
40,Deathmatch Classic,1,Valve,Valve,windows;mac;linux,0,Action;Action;FPS;Multiplayer,0,1273,267,258,184,5000000-10000000
50,Half-Life: Opposing Force,1,Gearbox Software,Valve,windows;mac;linux,0,Action;FPS;Action;Sci-fi,0,5250,288,624,415,5000000-10000000
60,Ricochet,1,Valve,Valve,windows;mac;linux,0,Action;Action;FPS;Multiplayer,0,2758,684,175,10,5000000-10000000
70,Half-Life,1,Valve,Valve,windows;mac;linux,0,Action;FPS;Classic;Action,0,27755,1100,1300,83,5000000-10000000
80,Counter-Strike: Condition Zero,1,Valve,Valve,windows;mac;linux,0,Action;Action;FPS;Multiplayer,0,12120,1439,427,43,10000000-20000000
130,Half-Life: Blue Shift,1,Gearbox Software,Valve,windows;mac;linux,0,Action;FPS;Action;Sci-fi,0,3822,420,361,205,5000000-10000000
220,Half-Life 2,1,Valve,Valve,windows;mac;linux,0,Action;FPS;Action;Sci-fi,33,67902,2419,691,402,10000000-20000000
240,Counter-Strike: Source,1,Valve,Valve,windows;mac;linux,0,Action;Action;FPS;Multiplayer,147,76640,3497,6842,400,10000000-20000000
280,Half-Life: Source,1,Valve,Valve,windows;mac;linux,0,Action;FPS;Action;Sci-fi,0,3767,1053,190,214,2000000-5000000
300,Day of Defeat: Source,1,Valve,Valve,windows;mac;linux,0,Action;FPS;World War II;Multiplayer,54,10489,1210,1356,134,5000000-10000000
