appid,name,release_date,english,developer,publisher,platforms,required_age,categories,steamspy_tags,negative_ratings,median_playtime,owners,price
514520,Sparky's Hunt,2016-08-18,1,Luke Cripps,Fellowplayer,windows,0,Single-player,Indie;Horror,3,0,0-20000,0.99
1012710,Endzeit,2019-04-03,1,RockyDev,RockyDev,windows,0,Single-player;Multi-player;Co-op;Full controller support;Stats,Early Access;Action;Violent,1,88,0-20000,7.19
279260,Richard & Alice,2014-06-05,1,Owl Cave,Owl Cave,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie;Point & Click,99,332,50000-100000,4.79
220090,The Journey Down: Chapter One,2013-01-09,1,SkyGoblin,SkyGoblin,windows;mac;linux,0,Single-player;Steam Trading Cards,Adventure;Point & Click;Indie,129,327,200000-500000,5.99
788870,In The Long Run The Game,2018-07-02,1,Zerstoren Games,Zerstoren Games,windows,0,Single-player;Partial Controller Support,Early Access;Simulation;Indie,11,0,0-20000,7.19
920780,Safe,2018-11-02,1,GraphXGames,GraphXGames,windows,0,Single-player,Indie;Strategy;Puzzle,0,0,0-20000,2.99
625780,Magic Wand,2017-06-25,1,thecatamites,harmony corp,windows;mac;linux,0,Single-player,Adventure;Indie;RPG,2,0,0-20000,2.79
339440,Critical Annihilation,2016-02-12,1,Devoga,Devoga,windows;mac;linux,0,Single-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Early Access;Action;Indie,16,0,0-20000,4.79
448240,Hybrid Animals,2016-08-29,1,FamishedMammal,Abstract Software Inc.,windows,0,Single-player;Multi-player;Steam Achievements;Stats,Simulation;Action;Casual,134,0,20000-50000,4.99
838110,HyperParasite,2019-04-03,1,Troglobytes Games,Troglobytes Games;Hound Picked Games,windows,0,Single-player;Local Co-op;Shared/Split Screen;Partial Controller Support,Early Access;Action;Indie,1,0,0-20000,6.19
444250,Crown and Council,2016-04-22,1,Mojang,Mojang,windows,0,Single-player;Local Multi-Player,Strategy;Casual;Indie,268,0,100000-200000,0.0
752550,Ripped Pants at Work,2018-01-21,1,Scott Ethington,Scott Ethington,windows;mac,0,Single-player;Full controller support,Indie;Action,4,0,0-20000,2.09
848720,Z.W!,2018-05-15,1,S. Khasanov,S. Khasanov,windows,0,Single-player,Action;Indie,1,0,0-20000,0.79
925470,Endless Jade Sea -Midori no Umi-,2019-01-23,1,Cabbit,SakuraGame,windows,0,Single-player,Sexual Content;Nudity;Indie,16,0,0-20000,1.69
832380,Reignman（掌控者）,2018-05-10,1,Winturn Games,Winturn Games,windows,0,Single-player,Strategy;Indie;Adventure,6,0,0-20000,2.89
517210,Bad Pad,2018-08-08,1,Headbang Games;Oray Studios,Headbang Games,windows;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,Indie;Action;Great Soundtrack,2,0,0-20000,10.29
610360,Zup! Zero,2017-04-06,1,Quiet River,Quiet River,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;Puzzle,102,204,50000-100000,0.79
982100,Samozbor: Rebellion,2018-12-08,1,derevotyan,derevotyan,windows;linux,0,Single-player,Indie;Casual;Visual Novel,2,0,0-20000,0.79
642600,Burst Fighter,2017-09-16,1,Magesoft,Magesoft,windows,0,Single-player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Indie;Action;Shoot 'Em Up,0,0,0-20000,6.99
498620,The Shadowland,2016-07-17,1,Bloodcraft Dev,Bloodcraft Dev,windows,0,Single-player;Steam Trading Cards,Indie;Adventure;Platformer,12,0,0-20000,0.79
882260,HellMaze,2018-07-10,1,wirYe Games,wirYe Games,windows;mac;linux,0,Single-player,Indie;Adventure;Casual,1,0,0-20000,3.99
664560,DreamTank,2017-10-13,1,Studio229,Studio229,windows,0,Single-player;Full controller support,Casual;Indie;VR,2,0,0-20000,7.19
803720,War Theatre,2019-03-16,1,Arcade Distillery,Arcade Distillery,windows;mac,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Full controller support,Strategy;RPG,2,0,0-20000,7.19
683830,Weable,2017-08-22,1,SPECTRUM GAMES,Droid Riot,windows,0,Single-player;Steam Trading Cards,Action;Indie;Casual,9,205,20000-50000,0.79
699790,Pegasus Door,2017-09-07,1,Jérémy Pionnier,Gate Zero,windows,0,Single-player,Action;VR,1,0,0-20000,2.79
656740,Cosmonator,2019-01-21,1,Bourbontank,Bourbontank,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Action;Indie;RPG,1,0,0-20000,5.19
