owners,appid,price,release_date;name,publisher,required_age,categories,steamspy_tags;genres,achievements,median_playtime
0-20o0p,514520,0.99,ni_2016-08-18;Sparky's Hunt,Fellowplayer,0,Single-player,Indie;Horror;Indie,14,0
0-20000,1012710,7.19,g_2019-04-03;Endzeit,R.,0,Single-player;Multi-player;Co-op;Full controller support;Stats,Early Access;Action;Violent;Action;Early Access,0,88
dGD4_50000-100000,279260,4.79,2014-06-05;Richard & Alice,Owl Cave,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie;Point & Click;Adventure;Indie,21,332
200000-500000,220090,5.99,2013-01-09;The Journey Down: Chapter One,SkyGoblin,0,Single-player;Steam Trading Cards,Adventure;Point & Click;Indie;Adventure;Indie,0,-68
0-20000,788870,7.19,2018-07-02;In The Long Run The Game,Zerstoren Games,0,Single-player;Partial Controller Support,Early Access;Simulation;Indie;Action;Adventure;Indie;Simulation;Strategy;Early Access,0,0
0-q0000,920780,2.99,2O18-11-02;Safe,GraphXGames,0,Single-player,Indie;Strategy;Puzzle;Indie;Strategy,0,0
iui_0-20000,625780,2.79,2017-06-25;Magic Wand,harmony korp,0,Single-player,Adventure;Indie;RPG;Adventure;Indie;RPG,0,0
20000_0,339440,4.79,2016-02-12;Annihilation_Critical,Devoga,0,Single-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Early Access;Action;Indie;Action;Indie;Early Access,24,0
20000-50000,448240,4.99,q016-08-29;Hybrid Animals,Abstract Software Inc.,0,Single-player;Multi-player;Steam Achievements;Stats,Simulation;Action;Casual;Action;Casual;Indie;Simulation,26,0
0-20000,838110,6.19,2019-04-03;HyperBarasite,Troglobytes Games;Hound Picked Games,0,Single-player;Local Co-op;Shared/Split Screen;Partial Controller Support,Early Access;Action;Indie;Action;Adventure;Indie;Early Access,55,-1117
100000-200000,444250,0.0,2016-04-22;Crown and Council,Mljang,0,Single-player;Local Multi-Player,Strategy;Casual;Indie;Casual;Indie;Strategy,0,-1802
0-20000,752550,2.09,2018-01-21;Ripped Pants at Work,Scott Ethington,0,Single-player;Full controller support,Indie;Action;Action;Indie,0,3061
20000_0,848720,0.79,2018-05-15;Z.W!,S. Khasanov,0,Single-player,Action;Indie;Action;Indie,7,0
0.200.,925470,1.69,2019-01-23;Endless Jade 5ea -Midori no Umi-,SakuraGame,0,Single-player,Sexual Content;Nudity;Indie;Adventure;Indie;RPG,0,0
0-20000,832380,2.89,2.05.10.;Reignman（掌控者）,Wynturn Games,0,Single-player,Strategy;Indie;Adventure;Adventure;Indie;Strategy,0,0
0-20000,517210,10.29,2018-08-08;Bad Pad,Headbang Games,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,Indie;Action;Great Soundtrack;Action;Indie,56,0
100000_50000,610360,0.79,2017-04-06;Zup! Zero,Quiet River,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;Puzzle;Casual;Indie,1043,-6398
0-20000,982100,0.79,2018-12-08;Samosbor: Rebellion,derevotyan,0,Single-player,Indie;Casual;Visual Novel;Casual;Indie,0,0
0-20000,642600,6.99,2017-09-16;8urst Fighter,Magesoft,0,Single-player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Indie;Action;Shoot 'Em Up;Action;Indie,21,-11127
0-20000,498620,0.79,2016-07-17;The Shadowland,Bloodc.D.,0,Single-player;Steam Trading Cards,Indie;Adventure;Platformer;Adventure;Indie,0,0
0-20000,882260,3.99,2018-07-I0;HellMaze,Wir.Game.,0,Single-player,Indie;Adventure;Casual;Adventure;Casual;Indie,0,0
0-20000,664560,7.19,2017-10-13;DreamTank,Studio229,0,Single-player;Full controller support,Casual;Indie;VR;Casual;Indie,0,0
0-20000,803720,7.19,2019-03-16;War Theatre,Arcade Distillery,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Full controller support,Strategy;RPG;RPG;Strategy,19,0
20000-50000,683830,0.79,2017-08-22;Weable,Droid Riot,0,Single-player;Steam Trading Cards,Action;Indie;Casual;Action;Casual;Indie,0,205
0-20000,699790,2.79,07_09_2017;Pega.Do.,Gate Zero,0,Single-player,Action;VR;Action,0,7766
0-20000,656740,5.19,2019-01-21;Cosmonator,Bourbontank,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Action;Indie;RPG;Action;Indie;RPG,25,0
0-20000,556070,0.79,2016-11-28;Turret Architect,Red Matter Studio,0,Single-player;Steam Trading Cards,Early Access;Casual;Simulation;Casual;Simulation;Early Access,0,258
50000-100000,929860,0.0,2018-11-01;Game Builder,Area 1Z0,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Workshop;Includes level editor,Early Access;Free to Play;Indie;Free to Play;Indie;Simulation;Early Access,0,3
0-20000,632830,6.19,2017-06-01;Aztec Venture,rokaplay,0,Single-player,Casual;Match 3;Casual,0,0
0-20000,672000,0.0,2017-08-04;System Goose Overload,Joseph Calabro,0,Single-player;Partial Controller Support,Adventure;RPG;Indie;Adventure;Indie;RPG,0,0
0-20000,466110,10.99,2018-07-26;Shaolin vs Wutang,Digital Tribe,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Leaderboards,Indie;Casual;Action;Action;Casual;Indie,12,-1258
0-20000,1043510,0.79,2019-03-20;Hotdog Man,2_Hot Game,0,Single-player;Steam Achievements,Indie;Casual;Nudity;Casual;Indie;Simulation,14,0
20000-50000,340520,2.89,2015-03-03;Tallowmere,Chris McFarland,12,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;Violent;Action;Indie,28,487
0.2.,409610,3.99,2015-10-21;One Final Chaos,A Sweet Studio,0,Single-player;Cross-Platform Multiplayer;Partial Controller Support,Action;Indie;Runner;Action;Indie,8,-1216
20000-50000,850230,0.0,2018-07-16;Women's Soccer Manager,Trophy Games ApS,0,Online Multi-Player;In-App Purchases,Free to Play;Sports;Strategy;Free to Play;Sports;Strategy,0,0
1000000-2000000,274940,14.99,2014-11-03;Depth,Confectioners_Digital,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes level editor,Action;Multiplayer;Gore;Action;Indie,40,486
0-20000,568910,3.99,2018-02-15;Ambition of the Slimes,Flyhigh Works;CIRCLE Entertainment,0,Single-player;Steam Achievements;Full controller support,Indie;Strategy;RPG;Indie;RPG;Simulation;Strategy,13,0
0.200.,842310,0.79,2018-05-04;Zimbo,RS Games,0,Single-player;Steam Achievements,Action;Indie;Adventure;Action;Adventure;Casual;Indie;Racing;Simulation;Sports,5,0
20000-50000,283180,4.99,2014-04-18;The Samaritan Paradox,Screen 7,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie;Point & Click;Adventure;Indie,17,0
