owners,appid,english,developer,publisher;platforms,required_age,steamspy_tags,achievements;positive_ratings,negative_ratings,average_playtime
0-20000,514520,1,Luke Cripps,Fellowplayer;windows,0,Indie;Horror,14;6,3,11104
0-20000,1012710,1,RockyDev,RockyDev;windows,0,Early Access;Action;Violent,0;0,1,88
50000-100000,279260,1,Owl Cave,Owl Cave;windows,0,Adventure;Indie;Point & Click,21;3730,99,332
200000-500000,220090,1,SkyGoblin,SkyGoblin;windows;mac;linux,0,Adventure;Point & Click;Indie,2038;902,129,-2325
0-20000,788870,2,Zerstoren Games,Zerstoren Games;windows,0,Early Access;Simulation;Indie,0;6,11,-2118
0-20000,920780,2,GraphXGames,GraphXGames;windows,0,Indie;Strategy;Puzzle,341;2634,0,0
0-20000,625780,1,thecatamites,harmony corp;windows;mac;linux,0,Adventure;Indie;RPG,0;34,2,0
0-20000,339440,0,Devoga,Devoga;windows;mac;linux,0,Early Access;Action;Indie,24;178,16,0
20000-50000,448240,1,FamishedMammal,Abstract Software Inc.;windows,8,Simulation;Action;Casual,26;196,134,621
0-20000,838110,1,Troglobytes Games,Troglobytes Games;Hound Picked Games;windows,0,Early Access;Action;Indie,55;19297,1,0
100000-200000,444250,2,Mojang,Mojang;windows,10,Strategy;Casual;Indie,0;-116,268,-2698
0-20000,752550,1,Scott Ethington,Scott Ethington;windows;mac,0,Indie;Action,0;-8920,4,0
0-20000,848720,1,S. Khasanov,S. Khasanov;windows,0,Action;Indie,7;3,1,372
0-20000,925470,0,Cabbit,SakuraGame;windows,10,Sexual Content;Nudity;Indie,0;-11682,16,10853
0-20000,832380,1,Winturn Games,Winturn Games;windows,2,Strategy;Indie;Adventure,0;22,6,0
0-20000,517210,1,Headbang Games;Oray Studios,Headbang Games;windows;linux,0,Indie;Action;Great Soundtrack,56;23,2,0
50000-100000,610360,1,Quiet River,Quiet River;windows,0,Casual;Indie;Puzzle,-476;1270,102,187
0-20000,982100,1,derevotyan,derevotyan;windows;linux,0,Indie;Casual;Visual Novel,0;9,2,0
0-20000,642600,1,Magesoft,Magesoft;windows,0,Indie;Action;Shoot 'Em Up,21;13,0,10265
0-20000,498620,1,Bloodcraft Dev,Bloodcraft Dev;windows,0,Indie;Adventure;Platformer,-217;19,12,10077
0-20000,882260,1,wirYe Games,wirYe Games;windows;mac;linux,-1,Indie;Adventure;Casual,0;1,1,0
0-20000,664560,1,Studio229,Studio229;windows,0,Casual;Indie;VR,0;10754,2,-1623
0-20000,803720,1,Arcade Distillery,Arcade Distillery;windows;mac,0,Strategy;RPG,19;6,2,0
